project, method, run, timing
commons-io, orig, 17, 27.1
commons-io, 3-Proj, 17, 27.0
commons-io, 3D-Clus, 17, 142.0
commons-io, orig, 18, 28.3
commons-io, 3-Proj, 18, 27.2
commons-io, 3D-Clus, 18, 142.2
commons-io, orig, 19, 28.0
commons-io, 3-Proj, 19, 27.3
commons-io, 3D-Clus, 19, 142.9
commons-io, orig, 20, 27.9
commons-io, 3-Proj, 20, 27.5
commons-io, 3D-Clus, 20, 150.0
commons-io, orig, 21, 27.3
commons-io, 3-Proj, 21, 27.2
commons-io, 3D-Clus, 21, 150.3
commons-io, orig, 22, 27.4
commons-io, 3-Proj, 22, 27.0
commons-io, 3D-Clus, 22, 140.9
commons-io, orig, 23, 27.2
commons-io, 3-Proj, 23, 27.4
commons-io, 3D-Clus, 23, 141.6
commons-io, orig, 24, 27.4
commons-io, 3-Proj, 24, 28.1
commons-io, 3D-Clus, 24, 141.7
commons-io, orig, 25, 27.3
commons-io, 3-Proj, 25, 27.5
commons-io, 3D-Clus, 25, 141.3
commons-io, orig, 26, 27.3
commons-io, 3-Proj, 26, 27.4
commons-io, 3D-Clus, 26, 141.4
commons-io, orig, 27, 27.5
commons-io, 3-Proj, 27, 27.2
commons-io, 3D-Clus, 27, 141.7
commons-io, orig, 28, 27.3
commons-io, 3-Proj, 28, 27.5
commons-io, 3D-Clus, 28, 146.1
commons-io, orig, 29, 27.3
commons-io, 3-Proj, 29, 28.6
commons-io, 3D-Clus, 29, 150.7
